user_id,item_description,date
1000,whole milk,2014-06-24
1000,pastry,2014-06-24
1001,sausage,2014-07-02
1001,whole milk,2014-07-02
1001,rolls/buns,2014-07-02
1001,whole milk,2014-12-12
1001,soda,2014-12-12
1001,frankfurter,2015-01-20
1002,butter,2014-04-26
1002,whole milk,2014-04-26
1002,frozen vegetables,2014-09-02
1003,frozen meals,2014-01-19
1003,dental care,2014-01-19
1003,rolls/buns,2014-02-27
1003,rolls/buns,2014-02-27
1003,root vegetables,2014-10-15
1004,dish cleaner,2014-01-05
1004,cling film/bags,2014-01-05
1004,canned beer,2014-01-07
1004,frozen fish,2014-01-07
1004,pip fruit,2014-04-02
1004,whole milk,2014-04-02
1004,tropical fruit,2014-04-02
1004,whole milk,2014-08-19
1004,pastry,2014-08-19
1004,root vegetables,2014-08-19
1004,rolls/buns,2014-10-06
1004,red/blush wine,2014-10-06
1004,chocolate,2014-10-06
1004,other vegetables,2014-10-07
1004,shopping bags,2014-10-07
1004,packaged fruit/vegetables,2014-10-13
1005,whipped/sour cream,2014-01-23
1005,margarine,2014-01-23
1005,rolls/buns,2014-09-01
1006,bottled water,2014-05-07
1006,softener,2014-05-07
1006,rolls/buns,2014-05-07
1006,whole milk,2014-09-04
1006,rice,2014-09-04
1006,shopping bags,2014-11-07
1009,canned fish,2014-01-24
1010,pip fruit,2014-05-03
1010,coffee,2014-05-03
1010,UHT-milk,2014-05-03
1010,bottled water,2014-08-23
1010,specialty bar,2014-08-23
1010,frankfurter,2014-08-27
1010,bottled water,2014-08-27
1010,kitchen towels,2014-10-04
1011,curd cheese,2014-02-06
1011,pastry,2014-02-06
1011,citrus fruit,2014-02-15
1011,candy,2014-02-15
1011,bottled water,2014-02-15
1012,frozen vegetables,2014-06-22
1013,hard cheese,2014-01-17
1013,napkins,2014-01-17
1013,bottled water,2014-01-17
1013,whole milk,2014-02-20
1013,candy,2014-02-20
1013,tropical fruit,2014-03-26
1013,frozen vegetables,2014-03-26
1013,mustard,2014-03-28
1013,whipped/sour cream,2014-03-28
1013,other vegetables,2014-07-15
1013,mustard,2014-07-15
1014,hamburger meat,2014-04-09
1014,butter milk,2014-04-09
1014,whole milk,2014-06-10
1015,fruit/vegetable juice,2014-06-28
1015,rolls/buns,2014-06-28
1017,other vegetables,2014-02-21
1017,root vegetables,2014-02-21
1017,yogurt,2014-06-19
1017,beef,2014-06-19
1017,brown bread,2014-10-14
1018,curd,2014-01-10
1018,long life bakery product,2014-01-10
1018,beverages,2014-04-15
1018,domestic eggs,2014-04-15
1018,berries,2014-05-27
1019,hamburger meat,2014-10-12
1020,frozen meals,2014-07-19
1020,butter,2014-07-19
1020,newspapers,2014-07-19
1020,yogurt,2014-07-19
1020,canned beer,2014-12-08
1021,sliced cheese,2014-05-30
1022,beef,2014-02-22
1022,napkins,2014-02-22
